OPT School Codes,ATS Code,School Name,Address,Phone,District,Borough,Type of School,Building Code
18637,18K637,ACAD FOR CONST & THE ENVIRON,6565 FLATLANDS AVENUE Brooklyn NY 11236,(718) 968-4101,18,Brooklyn,Public,K515
32403,32K403,ACAD FOR ENVIRO.LEADERSHIP,400 IRVING AVENUE Brooklyn NY 11237,(718) 381-7100,32,Brooklyn,Public,K480
28303,28Q303,ACAD FOR EXCEL THRU THE ARTS,108-55 69TH AVENUE Queens NY 11375,(718) 459-1358,28,Queens,Public,Q003
2543,02M546,ACAD FOR SOFTWARE ENGINEERING,40 IRVING PLACE New York NY 10003,(212) 253-3299,2,Manhattan,Public,M460
7343,07X343,ACAD OF APPLIED MATH & TECH,345 BROOK AVENUE Bronx NY 10454,(718) 292-3883,7,Bronx,Public,X139
17448,17K408,ACAD OF HOSPITALITY & TOURISM,911 FLATBUSH AVENUE Brooklyn NY 11226,(718) 564-2580,17,Brooklyn,Public,K465
2687,,ACAD OF INFO-TECHNOLOGY TWEED,52 CHAMBERS STREET ROOM 209 New York NY 10007,(212) 374-5557,2,Manhattan,Public,
31065,31R065,ACAD OF INNOVATIVE LEARNING,155 ST. Pauls Avenue Staten Island NY 10301,(718) 981-5034,31,Staten Island,Public,R829
19618,19K618,ACAD OF INNOVATIVE TECHNOLOGY,999 JAMAICA AVENUE Brooklyn NY 11208,(718) 827-2469,19,Brooklyn,Public,K420
27520,27Q309,ACAD OF MEDICAL TECHNOLOGY,8-21 BAY 25TH STREET Queens NY 11691,(718) 471-3571,27,Queens,Public,Q465
30359,84Q359,ACAD OF THE CITY CHARTER SCH.,31-29 60TH STREET Queens NY 11377,(718) 487-9857,30,Queens,Charter,QABE
10363,10X363,ACAD PERSONAL LEADERSHIP-EXCEL,120 EAST 184TH STREET Bronx NY 10468,(718) 220-3139,10,Bronx,Public,X115
11270,11X270,ACAD SCHOLARSHIP & ENTREPREN,921 EAST 228TH STREET Bronx NY 10466,(718) 696-3840,11,Bronx,Public,X362
30235,30Q235,ACAD. FOR NEW AMERICANS IS 235,30-14 30TH STREET Queens NY 11102,(718) 956-4140,30,Queens,Public,Q234
17382,17K382,ACAD.COLL.PREP & CAREER EXPLOR,911 FLATBUSH AVENUE Brooklyn NY 11226,(718) 564-2566,17,Brooklyn,Public,K465
9365,09X365,ACAD.FOR LANGUAGE & TECHNOLOGY,1700 MACOMBS ROAD Bronx NY 10453,(718) 731-0219,9,Bronx,Public,X082
24551,24Q264,ACAD.OF FINANCE & ENTERPRISE,30-20 THOMSON AVENUE Queens NY 11101,(718) 389-3623,24,Queens,Public,Q735
7003,84X491,ACADEMIC LEADERSHIP CHARTER,470 Jackson Avenue BRONX NY 10455,(718) 585-4215,7,Bronx,Charter,X065
7684,84X491,ACADEMIC LEADERSHIP CHARTER,677 EAST 141 STREET Bronx NY 10454,(718) 585-4215,7,Bronx,Charter,X065
3008,,Academics West,37 West 65 Street New York NY 10023,(212) 580-0080,3,Manhattan,Nonsectarian,
7548,07X548,ACADEMY FOR CAREER IN SPORTS,730 CONCOURSE VILLAGE WEST Bronx NY 10451,(718) 993-0255,7,Bronx,Public,X790
17544,17K751,ACADEMY FOR HEALTH CAREERS,150 ALBANY AVENUE Brooklyn NY 11213,(718) 773-0128,17,Brooklyn,Public,K625
30037,,Academy for Young Minds,11-20 46 Road Long Island Cit Ne 11101,(646) 670-5999,30,Queens,Nonsectarian,
19404,19K404,ACADEMY FOR YOUNG WRITERS,1065 ELTON STREET Brooklyn NY 11208,(718) 688-7230,19,Brooklyn,Public,K422
30470,30Q575,ACADEMY OF AMERICAN STUDIES,28-01 41 AVENUE LIC NY 11101,(718) 433-2557,30,Queens,Public,Q451
10705,,ACADEMY OF MT ST URSULA,330 BEDFORD PARK BLVD Bronx NY 10458,(718) 364-5353,10,Bronx,Parochial,
7298,07X298,ACADEMY OF PUBLIC RELATIONS,778 FOREST AVENUE Bronx NY 10459,(718) 665-8866,7,Bronx,Public,X184
31730,,ACADEMY OF ST DOROTHY,1305 Hylan Boulevard STATEN ISLAND NY 10305,(718) 351-0939,31,Staten Island,Parochial,
2735,,ACADEMY OF ST JOSEPH,111 WASHINGTON PLACE NEW YORK NY 10014,(212) 243-5420,2,Manhattan,Parochial,
30019,84Q359,Academy Of The City Middle Sch,23-40 Astoria Boulevard Queens NY 11102,(718) 487-9857,30,Queens,Charter,QABE
32570,32K552,ACADEMY URBAN PLANNING,400 IRVING AVENUE Brooklyn NY 11237,(718) 381-7100,32,Brooklyn,Public,K480
28039,,Access D79 BCO,90-01 Sutphin Blouevard Queens NY 11435,(718) 557-2540,28,Queens,Nonsectarian,
12443,12X341,ACCION ACADEMY,977 FOX STREET Bronx NY 10459,(718) 294-0514,12,Bronx,Public,X116
14011,,Ach Tov V'Chesed,27 Skillman Street Brooklyn NY 11205,(718) 384-1652,14,Brooklyn,Yeshiva,
19680,84K680,ACHIEVE FIRST ASPIRE CHARTER,982 Hegeman Avenue Brooklyn NY 11208,(347) 471-2055,19,Brooklyn,Charter,K202
19681,84K680,ACHIEVE FIRST ASPIRE CHTR MS,970 Vermont Street Brooklyn NY 11207,(347) 471-2632,19,Brooklyn,Charter,K202
13508,84K508,ACHIEVE FIRST ENDEAVOR ELEM,510 WAVERLY AVENUE Brooklyn NY 11238,(718) 622-5994,13,Brooklyn,Charter,K784
19788,84K788,ACHIEVE FIRST LINDEN ELEM SCH,800 VAN SICLEN AVENUE Brooklyn NY 11207,(347) 471-2700,19,Brooklyn,Charter,K166
32784,84K784,ACHIEVE FIRST NORTH BKLYN SCH,200 WOODBINE STREET Brooklyn NY 11221,(347) 471-2690,32,Brooklyn,Charter,K377
19005,84K774,Achievement First Apollo MS,301 Vermont Street Brooklyn NY 11207,(347) 471-2680,19,Brooklyn,Charter,K302
23414,84K626,ACHIEVEMENT FIRST BROWNSVILLE,2021 BERGEN STREET Brooklyn NY 11237,(347) 471-2600,23,Brooklyn,Charter,K055
32538,84K538,ACHIEVEMENT FIRST BUSHWICK EL,125 COVERT STREET Brooklyn NY 11207,(718) 443-1213,32,Brooklyn,Charter,K383
32588,84K538,ACHIEVEMENT FIRST BUSHWICK MS,1300 GREENE AVENUE Brooklyn NY 11237,(718) 453-0425,32,Brooklyn,Charter,K383
17685,84K356,ACHIEVEMENT FIRST CHARTER SCH,790 EAST NEW YORK AVENUE Brooklyn NY 11203,(347) 471-2580,17,Brooklyn,Charter,K391
17669,84K356,ACHIEVEMENT FIRST CROWN HEIGHT,1485 PACIFIC STREET Brooklyn NY 11216,(718) 922-1581,17,Brooklyn,Charter,K391
19004,84K626,Achievement First East BK HS,301 VERMONT STREET BROOKLYN NY 11207,(347) 471-2650,19,Brooklyn,Charter,K055
13586,84K508,ACHIEVEMENT FIRST ENDEAVOR MS,510 WAVERLY AVENUE Brooklyn NY 11238,(718) 622-4786,13,Brooklyn,Charter,K784
19356,84K358,ACHIEVEMENT FIRST ENY CHARTER,158 RICHMOND STREET Brooklyn NY 11208,(347) 471-2570,19,Brooklyn,Charter,K013
19656,84K358,ACHIEVEMENT FIRST ENY CHARTER,557 PENNSYLVANIA AVENUE ROOM 222 Brooklyn NY 11207,(718) 485-4924,19,Brooklyn,Charter,K013
29416,84Q416,Achievement First Legacy Eleme,118-49 Montauk Street Queens NY 11412,(347) 471-2646,29,Queens,Charter,QAOC
19012,84K788,Achievement First Linden MS,370 Fountain Avenue Brooklyn NY 11208,(347) 471-2705,19,Brooklyn,Charter,K166
32358,84K358,Achievement First NY HS,35 STARR STREET Brooklyn NY 11221,(718) 363-2270,32,Brooklyn,Charter,K013
32680,84K680,Achievement First Ujima HS,600 Central Avenue Brooklyn NY 11207,(347) 471-2709,32,Brooklyn,Charter,K202
17026,84K876,Achievement First Voyager ES,532 Albany Avenue Brooklyn NY 11203,(347) 471-2645,17,Brooklyn,Charter,K092
17011,84K876,Achievement First Voyager MS,601 Parkside Avenue Brooklyn NY 11226,(347) 471-2640,17,Brooklyn,Charter,K092
19655,84K774,ACHIVE FIRST APOLLO CHARTER,350 Linwood Street Brooklyn NY 11208,(347) 471-2620,19,Brooklyn,Charter,K302
25244,25Q244,ACTIVE LEARNING ELEM SCHOOL,137-20 FRANKLIN AVENUE Queens NY 11355,(718) 445-5730,25,Queens,Public,Q244
13047,,Adams Street Office,"335 Adams Street , Room 504 Brooklyn NY 11201",(516) 639-5132,13,Brooklyn,Public,
22902,,Adapt Community Network,175 LAWRENCE AVENUE Brooklyn NY 11230,(718) 436-7600,22,Brooklyn,Nonsectarian,
20802,,ADELPHI ACADEMY,8515 RIDGE BLVD Brooklyn NY 11209,(718) 238-3308,20,Brooklyn,Nonsectarian,
9611,84X611,AECI II Computer Engineering,116 East 169 Street Bronx NY 10452,(646) 741-7470,9,Bronx,Charter,XCGA
13007,,AFFINITY GROUP FIELD SUPPORT,131 LIVINGSTON STREET BROOKLYN NY 11201,(917) 339-1710,13,Brooklyn,Public,
13961,,AFFINITY OFFICE,335 ADAMS STREET ROOM 506 Brooklyn NY 11201,(718) 923-5166,13,Brooklyn,Public,
4653,,Agile Learning Center,115 EAST 106TH STREET New York NY 10029,(212) 533-2826,4,Manhattan,Nonsectarian,
21684,,AHI EZER YESH-MAIN,2433 OCEAN PARKWAY Brooklyn NY 11235,(718) 648-6100,21,Brooklyn,Yeshiva,
20865,,AHRC MS/HS,1201 66TH STREET Brooklyn NY 11219,(718) 259-4389,20,Brooklyn,Nonsectarian,
75619,,AHS - Alternative High School,226 LINDA AVE HAWTHORNE NY 10532,(914) 749-2917,00*,HAWTHORNE,non nyc pub,
15859,,AL MADINAH SCHOOL,383 3RD AVENUE Brooklyn NY 11215,(718) 222-4986,15,Brooklyn,Other Rel,
15881,,AL MADRASA AL ISLAMIYA SCHOOL,5224 3RD AVENUE Brooklyn NY 11220,(718) 567-3334,15,Brooklyn,Other Rel,
12011,88X994,ALC - Crotona Academy,1211 Southern Boulevard Bronx NY 10459,(718) 860-5730,12,Bronx,Public,X358
8574,88X607,ALC - LAFAYETTE ACADEMY,1201 LAFAYETTE AVENUE 3RD FLOOR Bronx NY 10474,(718) 991-1072,8,Bronx,Public,XAJF
1010,88M998,ALC - Thompkins Park,287 EAST 10TH STREET New York NY 10009,(347) 505-5377,1,Manhattan,Public,MBAA
1010,88M998,ALC - Thompkins Park,287 EAST 10TH STREET New York NY 10009,(347) 505-5377,1,Manhattan,Public,M088
1010,88M998,ALC - Thompkins Park,287 EAST 10TH STREET New York NY 10009,(347) 505-5377,1,Manhattan,Public,MBEL
1010,88M998,ALC - Thompkins Park,287 EAST 10TH STREET New York NY 10009,(347) 505-5377,1,Manhattan,Public,M828
1010,88M998,ALC - Thompkins Park,287 EAST 10TH STREET New York NY 10009,(347) 505-5377,1,Manhattan,Public,M233
2795,88M994,ALC @ BOWLING GREEN,50 BROADWAY 12TH FLOOR New York NY 10004,(212) 374-6777,2,Manhattan,Public,M233
1991,88M991,ALC @ BOYS CLUB,287 EAST 10TH STREET New York NY 10009,(212) 374-6777,1,Manhattan,Public,M874
1991,88M991,ALC @ BOYS CLUB,287 EAST 10TH STREET New York NY 10009,(212) 374-6777,1,Manhattan,Public,MBEL
1991,88M991,ALC @ BOYS CLUB,287 EAST 10TH STREET New York NY 10009,(212) 374-6777,1,Manhattan,Public,M088
8966,88X966,ALC @ BX EDUC CTR,1201 LAFAYETTE AVENUE LEVEL C BRONX NY 10474,(718) 617-8830,8,Bronx,Public,X988
5887,88M992,ALC @ CHOIR ACAD,2005 MADISON AVENUE LEVEL B New York NY 10035,(212) 289-6227,5,Manhattan,Public,M501
4887,88M607,ALC @ EAST HARLEM,321 EAST 111TH STREET 5TH FLOOR New York NY 10026,(347) 505-4512,4,Manhattan,Public,MBEK
31997,88R971,ALC @ ST. MARKS,450 ST. MARKS PLACE Richmond NY 10301,(718) 273-3225,31,Staten Island,Public,R801
8889,88X996,ALC @ STEVENSON HS,1980 LAFAYETTE AVENUE Bronx NY 10473,(718) 918-2700,8,Bronx,Public,X450
17889,88K982,ALC- ALBANY AVE,281 ALBANY AVENUE Brooklyn NY 11213,(718) 778-6904,17,Brooklyn,Public,K883
27887,88Q995,ALC- AUGUST MARTIN,156-10 BAISLEY BLVD Queens NY 11434,(917) 528-2920,27,Queens,Public,Q400
13977,88K952,ALC- FUNDAMENTALS ACAD,355 PARK PLACE Brooklyn NY 11238,(718) 636-3255,13,Brooklyn,Public,K813
12887,88X995,ALC- MONROE CAMPUS,1300 BOYNTON AVENUE Bronx NY 10472,(718) 860-8138,12,Bronx,Public,X420
27885,88Q996,ALC- MS 53,100-00 Beach Channel Dr. Rockaway Park NY 11694,(718) 734-3215,27,Queens,Public,Q410
31887,88R991,ALC- MT LORETO,6581 HYLAN BOULEVARD Richmond NY 10309,(718) 966-4890,31,Staten Island,Public,R818
8866,88X997,ALC- PAL LONGWOOD,991 LONGWOOD AVENUE Bronx NY 10459,(718) 860-2196,8,Bronx,Public,X965
17886,88K991,ALC- PS 138 AX,960 PROSPECT PLACE 1ST FLOOR Brooklyn NY 11213,(718) 778-5891,17,Brooklyn,Public,K867
24887,88Q988,ALC- RFK WAGNER HS,47-07 30TH PLACE Queens NY 11101,(718) 706-6205,24,Queens,Public,Q891
17887,88K981,ALC- WEB DEBOIS HS,402 EASTERN PARKWAY Brooklyn NY 11225,(718) 774-9640,17,Brooklyn,Public,K824
2997,88M982,ALC-BATTERY PARK,50 BROADWAY 12TH FLOOR New York NY 10007,(___) ___-____,2,Manhattan,Public,M913
21889,88K984,ALC-BRIGHTON BEACH,25 BRIGHTON 4TH ROAD C28 Brooklyn NY 11235,(718) 332-5000,21,Brooklyn,Public,K620
32889,88K992,ALC-BROOKLYN CHOICES,271 MELROSE STREET Brooklyn NY 11206,(718) 821-5484,32,Brooklyn,Public,K799
6994,88M994,ALC-CLOISTERS,601 WEST 183RD STREET 2ND FLOOR MANHATTAN NY 10032,(___) ___-____,6,Manhattan,Public,M233
30886,88Q997,ALC-IS 126,31-51 21ST STREET ROOM 102 Queens NY 11106,(718) 728-3753,30,Queens,Public,Q126
28884,88Q987,ALC-JAMAICA ACADEMY,90-40 150TH STREET Queens NY 11435,(718) 526-0670,28,Queens,Public,Q883
8994,88X994,ALC-JANE ADDAMS HS,900 TINTON AVENUE BRONX NY 10456,(___) ___-____,8,Bronx,Public,X358
15887,88K987,ALC-JOHN JAY HS,237 7TH AVENUE Brooklyn NY 11215,(718) 832-4283,15,Brooklyn,Public,K460
6889,88M971,ALC-LAURELL HILL,601 WEST 183RD STREET 3RD FLOOR New York NY 10032,(212) 568-3401,6,Manhattan,Public,M233
25551,88Q985,ALC-LINDEN ACADEMY,30-48 LINDEN PLACE 1ST FLOOR FLUSHING NY 11354,(718) 557-2541,25,Queens,Public,Q859
9784,88X985,ALC-MS 145,1000 TELLER AVENUE Bronx NY 10456,(718) 992-9523,9,Bronx,Public,X145
17885,88K993,ALC-MS 246,72 VERONICA PLACE ROOM 109 Brooklyn NY 11226,(212) 374-5090,17,Brooklyn,Public,K246
13887,88K983,ALC-MS 258,141 MACON STREET Brooklyn NY 11216,(718) 398-3107,13,Brooklyn,Public,K258
13952,88K952,ALC-PARK PLACE,355 PARK PLACE BROOKLYN NY 11238,(___) ___-____,13,Brooklyn,Public,K813
12877,88X994,ALC-PS6,1000 EAST TREMONT AVENUE Bronx NY 10460,(718) 328-7741,12,Bronx,Public,X358
28887,88Q975,ALC-ROYAL 180 ACADEMY,90-40 150TH STREET Queens NY 11435,(718) 526-0670,28,Queens,Public,Q883
6971,88M971,ALC-WASHINGTON HEIGHTS,601 WEST 183RD STREET 3RD FLOOR MANHATTAN NY 10032,(___) ___-____,6,Manhattan,Public,M233
3829,,ALEXANDER ROBERTSON SCH,3 WEST 95TH STREET New York NY 10025,(212) 663-6441,3,Manhattan,Nonsectarian,
7519,07X600,ALFRED E. SMITH HS,333 EAST 151ST STREET Bronx NY 10451,(718) 993-5000,7,Bronx,Public,X600
27570,,AL-IHSAN ACADEMY,130-08 ROCKAWAY BLVD. Queens NY 11420,(718) 322-3154,27,Queens,Other Rel,
28817,,AL-IMAN SCHOOL,89-89 VAN WYCK EXPRESSWAY Queens NY 11435,(718) 297-6522,28,Queens,Other Rel,
32554,32K554,ALL CITY LEADERSHIP ACADEMY,1474 GATES AVENUE Brooklyn NY 11237,(718) 381-9653,32,Brooklyn,Public,K554
2916,,ALL CITY MUSIC PROG DOE-PO'S,52 CHAMBERS STREET ROOM 210 New York NY 10007,(212) 374-0300,2,Manhattan,Public,
9703,,ALL HALLOWS HS,111 EAST 164TH STREET Bronx NY 10452,(718) 293-4545,9,Bronx,Parochial,
75646,,ALLEGRO SCHOOL,125 RIDGEDALE AVENUE CEDAR KNOLLS NJ 07927,(973) 267-8060,00*,CEDAR KNOLLS,Nonsectarian,
28005,,Allen Christian School,114-32 Merrick Boulevard Jamaica NY 11434,(718) 657-2500,28,Queens,Christian,
25001,,AL-MAMOOR SCHOOL,78-31 Parsons Blvd Fresh Meadows NY 11366,(718) 739-0902,25,Queens,Other Rel,
15750,,AL-NOOR SCHOOL,675 4 AVE Brooklyn NY 11232,(718) 768-7181,15,Brooklyn,Other Rel,
1005,,ALT School Union Square,1 Avenue B New York NY 10009,(718) 924-8268,1,Manhattan,Nonsectarian,
2696,,ALTERNATE LEARNING CENTERS,52 CHAMBERS STREET ROOM 218 New York NY 10007,(212) 374-1050,2,Manhattan,Public,
2043,,ALTERNATIVE EDUCATION COMPLEX,269 WEST 35TH STREET ROOM 1018 MANHATTAN NY 10018,(212) 868-1650,2,Manhattan,Public,
6592,,Amber Charter Sch kingsbridge,532 West 215 St Manhattan NY 10034,(929) 299-1595,6,Manhattan,Nonsectarian,
4481,84M705,AMBER CHARTER SCHOOL,220 EAST 106 STREET New York NY 10029,(212) 534-9667,4,Manhattan,Charter,M170
10018,84X592,Amber Charter School II,3120 Corlear Avenue Bronx NY 10463,(646) 802-1140,10,Bronx,Charter,XAFJ
6390,84M390,Amber Charter School III,532 215 Street Manhattan NY 10038,(212) 655-7597,6,Manhattan,Charter,MAFI
3888,,AMER.MUSEUM OF NATURAL HISTORY,79TH STREET CENTRAL PARK WEST New York NY 10024,(212) 769-5141,3,Manhattan,Nonsectarian,
7020,84X471,American Dream Charter HS,403 Concord Avenue Bronx NY 10454,(718) 924-2890,7,Bronx,Charter,X030
7471,84X471,AMERICAN DREAM CHARTER SCHOOL,510 EAST 141 STREET Bronx NY 10454,(718) 585-3071,7,Bronx,Charter,X030
75811,,AMERICAN RENAISSANCE SCHOOL,468 Rosedale Avenue WHITE PLAINS NY 10605,(718) 997-1227,00*,WHITE PLAINS,Nonsectarian,
6311,06M311,Amistad,4862 Broadway New York NY 10034,(212) 544-8021,6,Manhattan,Public,M176
75815,,ANDALUSIA SCHOOL,380 WALNUT STREET YONKERS NY 10701,(914) 964-5600,00*,YONKERS,Nonsectarian,
75422,,ANNE FRANK MONTESSORI SCH,430 DE MOTT AV ROCKVILLE CENTE NY 11570,(718) 678-5955,00*,ROCKVILLE CENTE,Nonsectarian,
28719,,ARCHBISHOP MOLLOY HS,83-53 MANTON STREET Queens NY 11435,(718) 441-2100,28,Queens,Parochial,
75410,,ARCHBISHOP STEPINAC HS,950 MAMARONECK AV WHITE PLAINS NY 10605,(914) 946-4800,00*,WHITE PLAINS,Parochial,
8367,08X367,ARCHIMEDES ACAD.MATH-SCI-TECH,456 WHITE PLAINS ROAD Bronx NY 10473,(718) 617-5046,8,Bronx,Public,X174
75638,,ARDSLEY HIGH SCHOOL,300 FARM ROAD ARDSLEY NY 10502,(914) 693-6300,00*,ARDSLEY,non nyc pub,
75817,,ARDSLEY MIDDLE SCHOOL,700 ASHFORD AVENUE ARDSLEY NY 10502,(914) 693-7564,00*,ARDSLEY,non nyc pub,
2969,,ARIS PARENT LINK-(WTC),52 CHAMBERS STREET ROOM 313 New York NY 10007,,2,Manhattan,Public,
17432,,ARISTA PREP SCHOOL,221 Kingston Avenue Brooklyn NY 11213,(718) 493-9290,17,Brooklyn,Nonsectarian,
3737,,ASCENSION SCHOOL,220 WEST 108TH STREET New York NY 10025,(212) 222-5161,3,Manhattan,Parochial,
30450,30Q112,ASHS AT LAGUARDIA FAMILY INST.,31-10 THOMSON AVE Queens NY 11101,(718) 482-5390,30,Queens,Public,Q112
17646,17K646,Aspirations Diploma Plus HS,402 Eastern Parkway Brooklyn NY 11225,(718) 773-7765,17,Brooklyn,Public,K824
17703,,ASSOCIATED BETH RIVKAH,470 LEFFERTS AVE Brooklyn NY 11225,(718) 735-0400,17,Brooklyn,Yeshiva,
17702,,ASSOCIATED BETH RIVKAH SCHOOL,310 CROWN STREET Brooklyn NY 11225,(718) 735-0400,17,Brooklyn,Yeshiva,
11566,11X299,ASTOR COLLEGIATE ACADEMY,925 ASTOR AVENUE Bronx NY 10469,(718) 944-3419,11,Bronx,Public,X415
17023,,Ateres Chaya,242A Albany Avenue Brooklyn NY 11213,(347) 470-5711,17,Brooklyn,Yeshiva,
2037,,ATLAS Foundation for Autism,"252 West 29th Street, Floor 3 New York NY 10001",(212) 256-0846,2,Manhattan,Nonsectarian,
10021,84X460,Atmosphere Academy Charter 2,3700 Independence Avenue Bronx NY 10463,(718) 696-0471,10,Bronx,Charter,XAZI
10022,84X460,Atmosphere Academy Charter 3,5959 Broadway Bronx NY 10463,(718) 696-0471,10,Bronx,Charter,XAZI
10004,84X460,Atmosphere Academy Charter Sch,22 Marble Hill Ave Bronx NY 10463,(718) 696-0470,10,Bronx,Charter,XAZI
13650,,AUBURN ASSESSMENT CTR(BD OF ED,39 AUBURN PLACE Brooklyn NY 11205,(718) 722-4279,13,Brooklyn,Public,
27540,27Q400,AUGUST MARTIN HS,156-10 BAISLEY BLVD Queens NY 11434,(718) 528-2920,27,Queens,Public,Q400
14547,14K610,AUTOMOTIVE HS,50 BEDFORD AVENUE Brooklyn NY 11222,(718) 218-9301,14,Brooklyn,Public,K610
2921,,AVENUES OF NEW YORK - 10th Ave,259 10th Avenue New York NY 10001,(646) 664-0959,2,Manhattan,Nonsectarian,
2048,,Avenues of New York-W 26th St,536 West 26th Street New York NY 10010,(646) 664-0962,2,Manhattan,Nonsectarian,
24535,24Q610,AVIATION CAREER & TECH HS,36-02 QUEENS BOULEVARD Queens NY 11101,(718) 361-2032,24,Queens,Public,Q610
30540,30Q580,BACCALAUREATE SCH.GLOBAL COMM.,34-12 36TH AVENUE Queens NY 11106,(718) 361-5275,30,Queens,Public,Q798
21874,,BAIS ARON TZVI VERETZKY,1249 EAST 18TH STREET Brooklyn NY 11230,(718) 252-7777,21,Brooklyn,Yeshiva,
15705,,BAIS BROCHO OF KARLIN STOLIN,4314 10TH AVENUE Brooklyn NY 11219,(718) 853-1222,15,Brooklyn,Yeshiva,
20739,,BAIS ESTHER SCHOOL,1353 50TH STREET Brooklyn NY 11219,(718) 436-1234,20,Brooklyn,Yeshiva,
15691,,BAIS ESTHER SCHOOL # 2,945 39TH STREET Brooklyn NY 11219,(718) 436-1234,15,Brooklyn,Yeshiva,
20016,,Bais Esther School 3,2143 65 Street Brooklyn NY 11204,(718) 436-1234,20,Brooklyn,Yeshiva,
21023,,Bais Frieda Day Care(IHO),1326 East 10 Street Brooklyn NY 11230,(718) 876-0939,21,Brooklyn,Yeshiva,
14740,,BAIS ROCHEL SCH FOR GIRLS,227 MARCY AVENUE Brooklyn NY 11211,(718) 963-9260,14,Brooklyn,Yeshiva,
13048,,Bais Ruchel Dsatmar BR1 Girls,96 Sanford St Brooklyn NY 11205,(718) 797-2888,13,Brooklyn,Yeshiva,
14615,,BAIS RUCHEL DSATMAR CTRL-UTA,388 VERNON AVENUE Brooklyn NY 11206,(___) ___-____,14,Brooklyn,Yeshiva,
20869,,BAIS SARAH SCHOOL,6101 16TH AVENUE Brooklyn NY 11204,(718) 871-7571,20,Brooklyn,Yeshiva,
20005,,BAIS SHIFRA,1681 42 Street BROOKLYN NY 11204,(718) 431-0509,20,Brooklyn,Yeshiva,
20656,,BAIS TZIPORAH,1449 39TH STREET Brooklyn NY 11218,(718) 436-8336,20,Brooklyn,Yeshiva,
21707,,BAIS YAAKOU D'CHASIDEI GUR,1975 51 STREET Brooklyn NY 11204,(718) 338-5600,21,Brooklyn,Yeshiva,
21760,,BAIS YAAKOV ACAD & ELM,1213 ELM AVENUE Brooklyn NY 11230,(718) 339-4747,21,Brooklyn,Yeshiva,
27001,,BAIS YAAKOV ATERES MIRIAM,12-14 HEYSON ROAD FAR ROCKAWAY NY 11691,(718) 868-3232,27,Queens,Yeshiva,
21003,,BAIS YAAKOV D'GUR HS,1975 51st STREET Brooklyn NY 11204,(718) 338-5600,21,Brooklyn,Yeshiva,
14861,,BAIS YAAKOV D'KHAL ADAS YERIE,563 BEDFORD AVENUE Brooklyn NY 11211,(718) 384-6393,14,Brooklyn,Yeshiva,
15715,,BAIS YAAKOV OF ADAS YEREIM,1169 43 STREET Brooklyn NY 11219,(718) 435-5111,15,Brooklyn,Yeshiva,
20728,,BAIS YAAKOV OF EIGHTEETH AVE,4419 18TH AVENUE Brooklyn NY 11204,(718) 633-6050,20,Brooklyn,Yeshiva,
28720,,BAIS YAAKOV OF QUEENS ELEM,124-50 METROPOLITAN AVENUE Queens NY 11415,(718) 847-5352,28,Queens,Yeshiva,
15761,,BAIS YAKOV ADAS YEREIM HS,1169 43RD STREET Brooklyn NY 11219,(718) 435-0968,15,Brooklyn,Yeshiva,
2418,02M442,BALLET TECH,890 BROADWAY Manhattan NY 10003,(212) 254-1803,2,Manhattan,Public,M905
3807,,BANK STREET SCHOOL,610 WEST 112TH STREET New York NY 10025,(212) 875-4420,3,Manhattan,Nonsectarian,
1012,,Banks Street Head Start,535 East 5 Street Manhattan NY 10009,(212) 875-4736,1,Manhattan,Nonsectarian,
